image_index,tissue_type,pannuke_total_nuclei,pannuke_neoplastic_nuclei,pannuke_normal_nuclei,pannuke_inflammatory_nuclei,pannuke_connective_nuclei,pannuke_dead_nuclei,pannuke_epithelial_nuclei,cellpose_nuclei,cellpose_minus_pannuke_total,cellpose_to_pannuke_ratio,all_tp_pixels,all_fp_pixels,all_fn_pixels,all_tn_pixels,all_dice,all_iou,all_precision,all_recall,neoplastic_tp_pixels,neoplastic_fp_pixels,neoplastic_fn_pixels,neoplastic_tn_pixels,neoplastic_dice,neoplastic_iou,neoplastic_precision,neoplastic_recall,normal_tp_pixels,normal_fp_pixels,normal_fn_pixels,normal_tn_pixels,normal_dice,normal_iou,normal_precision,normal_recall,inflammatory_tp_pixels,inflammatory_fp_pixels,inflammatory_fn_pixels,inflammatory_tn_pixels,inflammatory_dice,inflammatory_iou,inflammatory_precision,inflammatory_recall,connective_tp_pixels,connective_fp_pixels,connective_fn_pixels,connective_tn_pixels,connective_dice,connective_iou,connective_precision,connective_recall,dead_tp_pixels,dead_fp_pixels,dead_fn_pixels,dead_tn_pixels,dead_dice,dead_iou,dead_precision,dead_recall,epithelial_tp_pixels,epithelial_fp_pixels,epithelial_fn_pixels,epithelial_tn_pixels,epithelial_dice,epithelial_iou,epithelial_precision,epithelial_recall,pred_neoplastic_like,pred_normal_like,pred_mixed,pred_unmatched,adapted_rand_error,adapted_rand_precision,adapted_rand_recall,vi_split,vi_merge,neoplastic_object_recall_iou_0.1,neoplastic_missed_objects_iou_0.1,normal_object_recall_iou_0.1,normal_missed_objects_iou_0.1,inflammatory_object_recall_iou_0.1,inflammatory_missed_objects_iou_0.1,connective_object_recall_iou_0.1,connective_missed_objects_iou_0.1,dead_object_recall_iou_0.1,dead_missed_objects_iou_0.1,epithelial_object_recall_iou_0.1,epithelial_missed_objects_iou_0.1,neoplastic_object_recall_iou_0.25,neoplastic_missed_objects_iou_0.25,normal_object_recall_iou_0.25,normal_missed_objects_iou_0.25,inflammatory_object_recall_iou_0.25,inflammatory_missed_objects_iou_0.25,connective_object_recall_iou_0.25,connective_missed_objects_iou_0.25,dead_object_recall_iou_0.25,dead_missed_objects_iou_0.25,epithelial_object_recall_iou_0.25,epithelial_missed_objects_iou_0.25,neoplastic_object_recall_iou_0.5,neoplastic_missed_objects_iou_0.5,normal_object_recall_iou_0.5,normal_missed_objects_iou_0.5,inflammatory_object_recall_iou_0.5,inflammatory_missed_objects_iou_0.5,connective_object_recall_iou_0.5,connective_missed_objects_iou_0.5,dead_object_recall_iou_0.5,dead_missed_objects_iou_0.5,epithelial_object_recall_iou_0.5,epithelial_missed_objects_iou_0.5,mean_preds_per_gt,mean_gts_per_pred,gt_with_multiple_preds,pred_with_multiple_gts
114,Breast,31,28,3,0,3,0,0,25,-6,0.8064516129032258,13569,2426,3799,45742,0.8134160597066171,0.6855107608362708,0.848327602375212,0.7812643942878965,13047,2948,3389,46152,0.8046005365234483,0.6730808914565244,0.8156924038757013,0.7938062788994926,522,15473,410,49131,0.06167661133097319,0.03181956720510099,0.0326351984995107,0.5600858369038617,0,15995,0,49541,0.0,0.0,0.0,0.0,522,15473,410,49131,0.06167661133097319,0.03181956720510099,0.0326351984995107,0.5600858369038617,0,15995,0,49541,0.0,0.0,0.0,0.0,0,15995,0,49541,0.0,0.0,0.0,0.0,23,1,0,1,0.47653705794527146,0.7292774521391345,0.4082483179121454,0.4944957752350124,0.6507230945273808,0.8214285714285714,5,0.3333333333333333,2,,0,0.3333333333333333,2,,0,,0,0.8214285714285714,5,0.3333333333333333,2,,0,0.3333333333333333,2,,0,,0,0.75,7,0.3333333333333333,2,,0,0.3333333333333333,2,,0,,0,1.0833333333333333,1.0833333333333333,2,2
165,Breast,20,0,20,1,14,0,5,20,0,1.0,6562,443,1215,57316,0.887836557975316,0.7982968369819972,0.9367594575289983,0.8437700912937588,0,7005,0,58531,0.0,0.0,0.0,0.0,6562,443,1215,57316,0.887836557975316,0.7982968369819972,0.9367594575289983,0.8437700912937588,245,6760,22,58509,0.06738173817372473,0.034865518713483895,0.03497501784434693,0.9176029962203145,4917,2088,819,57712,0.7718389451371385,0.6284509202445956,0.7019271948598117,0.8572175732202629,0,7005,0,58531,0.0,0.0,0.0,0.0,1400,5605,374,58157,0.31894293199644724,0.18972760536632371,0.1998572448248396,0.7891770011229472,0,20,0,0,0.29113576207999803,0.7466011059288816,0.6747586392221567,0.15073695502879764,0.23478162072703562,,0,1.0,0,1.0,0,1.0,0,,0,1.0,0,,0,1.0,0,1.0,0,1.0,0,,0,1.0,0,,0,1.0,0,1.0,0,1.0,0,,0,1.0,0,1.0,1.0,0,0
176,Breast,30,0,30,0,2,0,28,33,3,1.1,11090,638,2550,51258,0.8743298643957449,0.7767194284908413,0.9456002728504898,0.8130498533718379,0,11728,0,53808,0.0,0.0,0.0,0.0,11090,638,2550,51258,0.8743298643957449,0.7767194284908413,0.9456002728504898,0.8130498533718379,0,11728,0,53808,0.0,0.0,0.0,0.0,251,11477,230,53578,0.04111720861656064,0.020990132129101027,0.021401773533406034,0.5218295218186729,0,11728,0,53808,0.0,0.0,0.0,0.0,10839,889,2320,51488,0.8710571784462285,0.7715689066053733,0.9241984993170836,0.8236948096353646,0,30,0,3,0.4497532935096248,0.6857732548367881,0.4594479061246727,0.25802262007238247,0.4376577071338493,,0,0.9,3,,0,0.5,1,,0,0.9285714285714286,2,,0,0.9,3,,0,0.5,1,,0,0.9285714285714286,2,,0,0.8333333333333334,5,,0,0.5,1,,0,0.8571428571428571,4,1.1481481481481481,1.0333333333333334,4,1
200,Breast,27,0,27,2,3,0,22,24,-3,0.8888888888888888,8257,514,2654,54111,0.8390407478910481,0.7227133479205927,0.9413977881644722,0.7567592338000579,0,8771,0,56765,0.0,0.0,0.0,0.0,8257,514,2654,54111,0.8390407478910481,0.7227133479205927,0.9413977881644722,0.7567592338000579,470,8301,160,56605,0.09998936283363473,0.05262568581339981,0.053585680082027604,0.7460317460199043,278,8493,653,56112,0.05730777159342681,0.02949915110353406,0.031695359708092924,0.29860365198390326,0,8771,0,56765,0.0,0.0,0.0,0.0,7509,1262,1841,54924,0.8287622095906247,0.7075951752726087,0.8561167483743516,0.8031016042772159,0,24,0,0,0.5275679797193158,0.7273840117484298,0.34981869448447506,0.19837485293904242,0.46089132514550446,,0,0.8888888888888888,3,1.0,0,0.3333333333333333,2,,0,0.9545454545454546,1,,0,0.8888888888888888,3,1.0,0,0.3333333333333333,2,,0,0.9545454545454546,1,,0,0.8148148148148148,5,1.0,0,0.3333333333333333,2,,0,0.8636363636363636,3,1.0833333333333333,1.0833333333333333,2,2
220,Breast,36,0,36,0,0,0,36,35,-1,0.9722222222222222,11339,728,4237,49232,0.8203885251236044,0.6954735034343134,0.9396701748562694,0.7279789419615253,0,12067,0,53469,0.0,0.0,0.0,0.0,11339,728,4237,49232,0.8203885251236044,0.6954735034343134,0.9396701748562694,0.7279789419615253,0,12067,0,53469,0.0,0.0,0.0,0.0,0,12067,0,53469,0.0,0.0,0.0,0.0,0,12067,0,53469,0.0,0.0,0.0,0.0,11339,728,4237,49232,0.8203885251236044,0.6954735034343134,0.9396701748562694,0.7279789419615253,0,33,0,2,0.6526382248175058,0.688502149294927,0.23227413724581517,0.28478773209486596,0.6710812715664426,,0,0.9166666666666666,3,,0,,0,,0,0.9166666666666666,3,,0,0.9166666666666666,3,,0,,0,,0,0.9166666666666666,3,,0,0.8333333333333334,6,,0,,0,,0,0.8333333333333334,6,1.0303030303030303,1.0303030303030303,1,1
228,Breast,40,0,40,2,7,0,31,34,-6,0.85,10494,883,4117,50042,0.8076035093116793,0.677294436555649,0.9223872725666499,0.718225994113532,0,11377,0,54159,0.0,0.0,0.0,0.0,10494,883,4117,50042,0.8076035093116793,0.677294436555649,0.9223872725666499,0.718225994113532,292,11085,141,54018,0.04944961896693526,0.02535162354573246,0.02566581699918637,0.6743648960583287,1195,10182,1018,53141,0.17586460632805306,0.0964098426784216,0.10503647710283463,0.5399909624919115,0,11377,0,54159,0.0,0.0,0.0,0.0,9012,2365,2958,51201,0.7720049685181085,0.6286710847571477,0.7921244616324231,0.7528822055131554,0,34,0,0,0.6662523691969623,0.7169414791785693,0.21749826053877547,0.29252309544167737,0.6915952235029598,,0,0.85,6,0.5,1,0.7142857142857143,2,,0,0.9032258064516129,3,,0,0.85,6,0.5,1,0.7142857142857143,2,,0,0.9032258064516129,3,,0,0.75,10,0.5,1,0.5714285714285714,3,,0,0.8064516129032258,6,1.0571428571428572,1.088235294117647,2,3
238,Breast,18,16,2,1,1,0,0,15,-3,0.8333333333333334,8511,357,2511,54157,0.8558069381594491,0.7479567624565006,0.9597428958040597,0.7721829069127452,7788,1080,2422,54246,0.8164377817376997,0.6898139946849514,0.8782138024347336,0.7627815866789786,723,8145,89,56579,0.14938016528910186,0.08071899073341439,0.08152909336932619,0.8903940886589853,445,8423,44,56624,0.09511595596869175,0.04993267504482727,0.05018042399633493,0.9100204498791407,278,8590,45,56623,0.06049396148399467,0.031190396050677447,0.03134866937299126,0.8606811145244371,0,8868,0,56668,0.0,0.0,0.0,0.0,0,8868,0,56668,0.0,0.0,0.0,0.0,13,2,0,0,0.39881705280681934,0.7379928375933479,0.5071642953485578,0.1616482104954778,0.3997869812071362,0.8125,3,1.0,0,1.0,0,1.0,0,,0,,0,0.8125,3,1.0,0,1.0,0,1.0,0,,0,,0,0.75,4,1.0,0,1.0,0,1.0,0,,0,,0,1.0,1.0,0,0
241,Breast,27,0,27,7,11,0,9,30,3,1.1111111111111112,6907,1359,1986,55284,0.8050585698462585,0.6737222005455776,0.8355915799651153,0.7766782862917162,0,8266,0,57270,0.0,0.0,0.0,0.0,6907,1359,1986,55284,0.8050585698462585,0.6737222005455776,0.8355915799651153,0.7766782862917162,1150,7116,493,56777,0.2321122212128044,0.13129352665814442,0.13912412291296983,0.699939135723068,3288,4978,704,56566,0.5364659813994644,0.3665551839460796,0.3977740140329085,0.8236472945871152,0,8266,0,57270,0.0,0.0,0.0,0.0,2469,5797,789,56481,0.4284970496351714,0.27266703478710913,0.29869344301923695,0.7578268876588158,0,25,0,5,0.5081646978365078,0.7107119320027316,0.3760300332602269,0.31122728738185773,0.37008917601399705,,0,0.9259259259259259,2,0.8571428571428571,1,1.0,0,,0,0.8888888888888888,1,,0,0.9259259259259259,2,0.8571428571428571,1,1.0,0,,0,0.8888888888888888,1,,0,0.9259259259259259,2,0.8571428571428571,1,1.0,0,,0,0.8888888888888888,1,1.0,1.0,0,0
256,Breast,7,0,7,1,6,0,0,9,2,1.2857142857142858,1854,387,770,62525,0.762178828364312,0.615742278310808,0.8273092369440995,0.7065548780460879,0,2241,0,63295,0.0,0.0,0.0,0.0,1854,387,770,62525,0.762178828364312,0.615742278310808,0.8273092369440995,0.7065548780460879,188,2053,23,63272,0.15334420880851002,0.08303886925758376,0.08389112003532401,0.8909952606212798,1666,575,747,62548,0.7159432746009542,0.5575635876822036,0.7434181169087755,0.6904268545350584,0,2241,0,63295,0.0,0.0,0.0,0.0,0,2241,0,63295,0.0,0.0,0.0,0.0,0,7,0,2,0.3794080402548796,0.6431384191698784,0.5995727780126706,0.0946266001341248,0.12819811854144858,,0,1.0,0,1.0,0,1.0,0,,0,,0,,0,1.0,0,1.0,0,1.0,0,,0,,0,,0,0.8571428571428571,1,1.0,0,0.8333333333333334,1,,0,,0,1.0,1.0,0,0
329,Breast,38,38,0,0,0,0,0,31,-7,0.8157894736842105,18396,1633,6595,38912,0.8172367836515289,0.6909555288458943,0.9184682210789762,0.7361049977989131,18396,1633,6595,38912,0.8172367836515289,0.6909555288458943,0.9184682210789762,0.7361049977989131,0,20029,0,45507,0.0,0.0,0.0,0.0,0,20029,0,45507,0.0,0.0,0.0,0.0,0,20029,0,45507,0.0,0.0,0.0,0.0,0,20029,0,45507,0.0,0.0,0.0,0.0,0,20029,0,45507,0.0,0.0,0.0,0.0,30,0,0,1,0.6132458753309837,0.7190369438027872,0.26451562465483014,0.4491415160142452,0.9742247411922489,0.7894736842105263,8,,0,,0,,0,,0,,0,0.7894736842105263,8,,0,,0,,0,,0,,0,0.7368421052631579,10,,0,,0,,0,,0,,0,1.0333333333333334,1.0333333333333334,1,1
